config,file,n,k,tenure,search_mode,time_limit_s,max_iterations,timed_out,max_value,size,feasible,time_s,elements
PADRAO,1-max_sc_qbf-n_25-k_3.txt,25,3,20,FIRST_IMPROVING,1800,10000,false,202.680000,18,true,0.282,"1 4 21 6 7 8 17 24 15 16 23 22 2 5 9 10 18 20"
PADRAO+BEST,1-max_sc_qbf-n_25-k_3.txt,25,3,20,BEST_IMPROVING,1800,10000,false,202.680000,18,true,0.289,"1 4 21 6 7 8 17 24 15 16 23 22 18 2 5 9 20 10"
PADRAO+TENURE,1-max_sc_qbf-n_25-k_3.txt,25,3,40,FIRST_IMPROVING,1800,10000,false,202.680000,18,true,0.237,"1 4 21 6 7 8 17 24 15 16 23 22 2 5 9 10 18 20"
PADRAO,2-max_sc_qbf-n_25-k_4.txt,25,4,20,FIRST_IMPROVING,1800,10000,false,255.960000,18,true,0.233,"9 1 2 18 5 19 11 3 21 24 8 10 12 14 15 13 23 6"
PADRAO+BEST,2-max_sc_qbf-n_25-k_4.txt,25,4,20,BEST_IMPROVING,1800,10000,false,255.960000,18,true,0.411,"1 2 18 5 19 11 3 21 24 8 12 14 10 15 13 23 9 6"
PADRAO+TENURE,2-max_sc_qbf-n_25-k_4.txt,25,4,40,FIRST_IMPROVING,1800,10000,false,255.960000,18,true,0.257,"9 1 2 18 5 19 11 3 21 24 8 10 12 14 15 13 23 6"
PADRAO,3-max_sc_qbf-n_25-k_5.txt,25,5,20,FIRST_IMPROVING,1800,10000,false,244.420000,16,true,0.225,"0 1 4 23 15 5 16 10 3 20 2 7 17 12 18 21"
PADRAO+BEST,3-max_sc_qbf-n_25-k_5.txt,25,5,20,BEST_IMPROVING,1800,10000,false,240.870000,17,true,0.430,"0 1 4 23 15 11 5 16 10 3 20 21 9 2 18 12 17"
PADRAO+TENURE,3-max_sc_qbf-n_25-k_5.txt,25,5,40,FIRST_IMPROVING,1800,10000,false,244.420000,16,true,0.310,"0 1 4 23 15 5 16 10 3 20 2 7 17 12 18 21"
PADRAO,4-max_sc_qbf-n_50-k_3.txt,50,3,20,FIRST_IMPROVING,1800,10000,false,606.040000,35,true,1.592,"1 2 48 8 6 7 45 22 28 13 31 20 26 24 15 32 38 34 41 29 19 40 42 43 49 0 4 21 23 27 30 36 39 44 46"
PADRAO+BEST,4-max_sc_qbf-n_50-k_3.txt,50,3,20,BEST_IMPROVING,1800,10000,false,606.040000,35,true,2.650,"48 8 6 7 45 22 28 13 31 20 26 24 15 32 38 34 41 29 19 40 42 43 49 27 21 4 46 39 36 23 30 0 1 2 44"
PADRAO+TENURE,4-max_sc_qbf-n_50-k_3.txt,50,3,40,FIRST_IMPROVING,1800,10000,false,606.040000,35,true,0.903,"1 2 48 8 6 7 45 22 28 13 31 20 26 24 15 32 38 34 41 29 19 40 42 43 49 0 4 21 23 27 30 36 39 44 46"
PADRAO,5-max_sc_qbf-n_50-k_4.txt,50,4,20,FIRST_IMPROVING,1800,10000,false,444.950000,35,true,1.566,"41 17 25 7 9 15 3 21 37 24 44 29 0 19 40 2 12 14 33 35 39 47 49 16 36 45 26 23 28 27 18 11 48 6 43"
PADRAO+BEST,5-max_sc_qbf-n_50-k_4.txt,50,4,20,BEST_IMPROVING,1800,10000,false,444.950000,35,true,2.982,"41 17 25 7 9 15 3 21 37 24 44 19 12 47 2 33 14 35 39 49 26 16 0 27 23 11 6 18 36 28 48 45 29 40 43"
PADRAO+TENURE,5-max_sc_qbf-n_50-k_4.txt,50,4,40,FIRST_IMPROVING,1800,10000,false,444.950000,35,true,1.129,"41 17 25 7 9 15 3 21 37 24 44 29 0 19 40 2 12 14 33 35 39 47 49 16 36 45 26 23 28 27 18 11 48 6 43"
PADRAO,6-max_sc_qbf-n_50-k_5.txt,50,5,20,FIRST_IMPROVING,1800,10000,false,341.120000,25,true,1.907,"8 9 17 35 33 36 27 47 34 49 30 38 40 2 16 42 43 14 37 1 4 15 39 19 32"
PADRAO+BEST,6-max_sc_qbf-n_50-k_5.txt,50,5,20,BEST_IMPROVING,1800,10000,false,341.120000,25,true,3.533,"9 35 33 27 47 8 36 49 2 1 32 43 4 15 16 42 14 40 38 37 30 19 39 17 34"
PADRAO+TENURE,6-max_sc_qbf-n_50-k_5.txt,50,5,40,FIRST_IMPROVING,1800,10000,false,340.430000,27,true,1.902,"9 35 33 36 47 3 45 22 30 21 17 28 16 8 39 34 6 27 29 41 49 38 40 2 43 31 32"
